ticket_id,incident_id,opened_at,resolved_at,priority,status,assignment_group,service,configuration_item,category,resolution_hours,sla_breached,root_cause_code,source_updated_at
INC-202600000,INC-202600000,2026-01-01T00:00:00+00:00,2026-01-01T04:30:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.5,True,certificate_expiry,2026-01-01T04:30:00+00:00
INC-202600001,INC-202600001,2026-01-01T02:00:00+00:00,2026-01-01T04:06:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.1,False,application_error,2026-01-01T04:06:00+00:00
INC-202600002,INC-202600002,2026-01-01T04:00:00+00:00,2026-01-01T05:12:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.2,False,application_error,2026-01-01T05:12:00+00:00
INC-202600003,INC-202600003,2026-01-01T06:00:00+00:00,2026-01-01T07:18:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.3,False,application_error,2026-01-01T07:18:00+00:00
INC-202600004,INC-202600004,2026-01-01T08:00:00+00:00,2026-01-01T12:54:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.9,False,application_error,2026-01-01T12:54:00+00:00
INC-202600005,INC-202600005,2026-01-01T10:00:00+00:00,2026-01-01T12:30:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.5,False,application_error,2026-01-01T12:30:00+00:00
INC-202600006,INC-202600006,2026-01-01T12:00:00+00:00,2026-01-01T13:36:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.6,False,application_error,2026-01-01T13:36:00+00:00
INC-202600007,INC-202600007,2026-01-01T14:00:00+00:00,2026-01-01T15:00:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.0,False,application_error,2026-01-01T15:00:00+00:00
INC-202600008,INC-202600008,2026-01-01T16:00:00+00:00,2026-01-01T20:36:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.6,False,application_error,2026-01-01T20:36:00+00:00
INC-202600009,INC-202600009,2026-01-01T18:00:00+00:00,2026-01-01T20:12:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.2,False,application_error,2026-01-01T20:12:00+00:00
INC-202600010,INC-202600010,2026-01-01T20:00:00+00:00,2026-01-01T21:18:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.3,False,application_error,2026-01-01T21:18:00+00:00
INC-202600011,INC-202600011,2026-01-01T22:00:00+00:00,2026-01-01T23:24:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.4,False,application_error,2026-01-01T23:24:00+00:00
INC-202600012,INC-202600012,2026-01-02T00:00:00+00:00,2026-01-02T05:00:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,5.0,False,application_error,2026-01-02T05:00:00+00:00
INC-202600013,INC-202600013,2026-01-02T02:00:00+00:00,2026-01-02T04:36:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.6,False,application_error,2026-01-02T04:36:00+00:00
INC-202600014,INC-202600014,2026-01-02T04:00:00+00:00,2026-01-02T05:00:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.0,False,application_error,2026-01-02T05:00:00+00:00
INC-202600015,INC-202600015,2026-01-02T06:00:00+00:00,2026-01-02T07:06:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.1,False,application_error,2026-01-02T07:06:00+00:00
INC-202600016,INC-202600016,2026-01-02T08:00:00+00:00,2026-01-02T12:42:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.7,False,application_error,2026-01-02T12:42:00+00:00
INC-202600017,INC-202600017,2026-01-02T10:00:00+00:00,2026-01-02T12:18:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.3,False,certificate_expiry,2026-01-02T12:18:00+00:00
INC-202600018,INC-202600018,2026-01-02T12:00:00+00:00,2026-01-02T13:24:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.4,False,application_error,2026-01-02T13:24:00+00:00
INC-202600019,INC-202600019,2026-01-02T14:00:00+00:00,2026-01-02T15:30:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.5,False,application_error,2026-01-02T15:30:00+00:00
INC-202600020,INC-202600020,2026-01-02T16:00:00+00:00,2026-01-02T21:06:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,5.1,True,application_error,2026-01-02T21:06:00+00:00
INC-202600021,INC-202600021,2026-01-02T18:00:00+00:00,2026-01-02T20:00:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.0,False,application_error,2026-01-02T20:00:00+00:00
INC-202600022,INC-202600022,2026-01-02T20:00:00+00:00,2026-01-02T21:06:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.1,False,application_error,2026-01-02T21:06:00+00:00
INC-202600023,INC-202600023,2026-01-02T22:00:00+00:00,2026-01-02T23:12:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.2,False,application_error,2026-01-02T23:12:00+00:00
INC-202600024,INC-202600024,2026-01-03T00:00:00+00:00,2026-01-03T04:48:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.8,False,application_error,2026-01-03T04:48:00+00:00
